trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.3872120062852088, 'e': 0.9323273456060345}",25,0,-194.37325508027078,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
76,False,"{'a': 0.3845109868384298, 'e': 0.9305076219123143}",20,0,-57.12972199976726,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
77,False,"{'a': 0.38182880850694023, 'e': 0.9286646355765102}",30,0,-115.0897623057481,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
78,False,"{'a': 0.37916533986346523, 'e': 0.9267984326731847}",25,8,-126.3080691106873,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
79,False,"{'a': 0.3765204503975083, 'e': 0.9249090598573131}",20,0,-71.07597334951932,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
80,False,"{'a': 0.3738940105089565, 'e': 0.9229965643631173}",20,0,-125.788295043196,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.3712858915017297, 'e': 0.9210609940028851}",25,15,-83.52203108556338,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
82,False,"{'a': 0.3686959655774747, 'e': 0.9191023971657747}",30,0,-153.3708436682643,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
83,False,"{'a': 0.366124105829303, 'e': 0.9171208228166051}",20,0,-61.592682191577076,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
84,False,"{'a': 0.36357018623557247, 'e': 0.9151163204946318}",20,6,-5.392437814346777,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.36103408165371187, 'e': 0.9130889403123083}",20,0,-60.02519497594125,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.3585156678140894, 'e': 0.9110387329540337}",35,0,-255.4868049933806,"{0: 16, 1: 4, 2: 11, 3: 1, 4: 3}",0
87,False,"{'a': 0.35601482131392287, 'e': 0.9089657496748851}",20,0,-6.778622318676025,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.35353141961123347, 'e': 0.9068700422993367}",25,0,-169.78220125153646,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
89,False,"{'a': 0.3510653410188409, 'e': 0.9047516632199634}",25,11,-10.187749768897339,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.3486164646984007, 'e': 0.9026106653961321}",30,0,-150.26759320377136,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
91,False,"{'a': 0.34618467065448316, 'e': 0.9004471023526769}",25,0,-34.788572257330365,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 0.3437698397286936, 'e': 0.8982610281785611}",25,0,-56.765673286945805,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
93,False,"{'a': 0.3413718535938335, 'e': 0.8960524975255252}",30,0,-145.60699389817415,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",1
94,False,"{'a': 0.3389905947481024, 'e': 0.8938215656067205}",20,0,-36.94023702231201,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.3366259465093404, 'e': 0.891568288195329}",25,9,-50.66117172469171,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
96,False,"{'a': 0.33427779300931076, 'e': 0.8892927216231682}",30,0,-180.02384651086064,"{0: 17, 1: 2, 2: 5, 3: 5, 4: 1}",0
97,False,"{'a': 0.33194601918802213, 'e': 0.8869949227792842}",25,0,-34.81933913543379,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
98,False,"{'a': 0.3296305107880906, 'e': 0.8846749491085283}",20,5,-11.345255900627174,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.3273311543491414, 'e': 0.8823328586101215}",20,9,9.713923933927116,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.32504783720224895, 'e': 0.8799687098362042}",30,0,-161.25399937615168,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
101,False,"{'a': 0.32278044746441614, 'e': 0.8775825618903728}",25,0,-34.91864726680521,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.32052887403309227, 'e': 0.8751744744262013}",25,0,-54.99116155567834,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.31829300658072857, 'e': 0.8727445076457513}",25,13,-59.52065743318406,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.3160727355493725, 'e': 0.8702927222980654}",25,1,-101.572637448312,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 1}",1
105,False,"{'a': 0.31386795214529933, 'e': 0.8678191796776499}",20,0,-46.595364978594986,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.3116785483336812, 'e': 0.8653239416229412}",25,0,-113.36406921302925,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
107,False,"{'a': 0.30950441683329316, 'e': 0.862807070514761}",20,0,-145.4909772226473,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
108,False,"{'a': 0.3073454511112567, 'e': 0.8602686292747557}",20,0,-24.096600183586872,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.3052015453778195, 'e': 0.8577086813638242}",25,0,-46.70824375802116,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
110,False,"{'a': 0.3030725945811717, 'e': 0.8551272907805307}",20,13,-6.739607954281323,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.30095849440229827, 'e': 0.8525245220595057}",20,0,-63.135889743701796,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
112,False,"{'a': 0.2988591412498674, 'e': 0.8499004402698315}",25,5,-53.24670323080227,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
113,False,"{'a': 0.2967744322551546, 'e': 0.8472551110134161}",20,0,-126.1155694190547,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
114,False,"{'a': 0.294704265267002, 'e': 0.8445886004233532}",25,7,10.073811568661954,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.292648538846813, 'e': 0.8419009751622687}",20,0,-66.27944198421615,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
116,False,"{'a': 0.2906071522635817, 'e': 0.8391923024206541}",20,8,-4.127820925484744,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.28858000548895707, 'e': 0.8364626499151869}",20,0,-2.495408261629737,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.28656699919234147, 'e': 0.8337120858870376}",20,3,-144.6754717136235,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 3}",1
119,False,"{'a': 0.28456803473602377, 'e': 0.8309406791001636}",20,0,-87.91585955888408,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
120,False,"{'a': 0.2825830141703455, 'e': 0.8281484988395901}",20,0,-84.14492296337266,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
121,False,"{'a': 0.28061184022890184, 'e': 0.8253356149096783}",25,8,-49.81885467714545,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 0}",1
122,False,"{'a': 0.2786544163237752, 'e': 0.82250209763238}",25,0,-128.6536371760464,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
123,False,"{'a': 0.27671064654080263, 'e': 0.8196480178454795}",20,0,-54.02259763693605,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
124,False,"{'a': 0.27478043563487586, 'e': 0.8167734469008229}",35,3,-171.75548411436347,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 3}",1
125,False,"{'a': 0.27286368902527425, 'e': 0.8138784566625339}",20,0,-61.29417449639119,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.27096031279103044, 'e': 0.8109631195052179}",25,0,-132.37144894497732,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
127,False,"{'a': 0.26907021366632816, 'e': 0.8080275083121519}",25,6,-115.55981326419956,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 2}",1
128,False,"{'a': 0.2671932990359321, 'e': 0.8050716964734628}",20,0,-87.18871950957309,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
129,False,"{'a': 0.2653294769306498, 'e': 0.8020957578842927}",20,0,-38.62612250722563,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
130,False,"{'a': 0.2634786560228251, 'e': 0.7990997669429512}",20,0,-44.589264881012205,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
131,False,"{'a': 0.2616407456218634, 'e': 0.7960837985490558}",20,2,-64.40201910076851,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
